ANO,MES,DIA,TMAX,TMIN,LUGAR
2020,1,1,25.8,19.3,AEROPARQUE CABA
2020,1,1,28.6,13.7,AZUL AEROPUERTO
2020,1,1,23.5,7.7,BAHIA BLANCA AEROPUERTO
2020,1,1,21.5,6.2,BARILOCHE AEROPUERTO
2020,1,1,-1.5,-5.3,BASE BELGRANO II
2020,1,1,4.7,2.4,BASE CARLINI (EX JUBANY)
2020,1,1,15.3,-1.2,BASE ESPERANZA
2020,1,1,5,2.8,BASE MARAMBIO
2020,1,1,6.6,-5.4,BASE ORCADAS
2020,1,1,1.5,-0.9,BASE SAN MARTIN
2020,1,1,26.8,11.7,BENITO JUAREZ
2020,1,1,31,19,BERNARDO DE IRIGOYEN AEROPUERTO
2020,1,1,29.2,16.7,BOLIVAR AEROPUERTO
2020,1,1,29.3,19.6,BUENOS AIRES OBSERVATORIO
2020,1,1,33.4,15,CAMPO DE MAYO AEROPUERTO
2020,1,1,29.5,20.2,CATAMARCA AEROPUERTO
2020,1,1,,17.2,CERES AEROPUERTO
2020,1,1,,18.2,CHAMICAL AEROPUERTO
2020,1,1,26,4.3,CHAPELCO AEROPUERTO
2020,1,1,34.6,20.3,CHEPES
2020,1,1,,,CHILECITO AEROPUERTO
2020,1,1,13.5,10.6,COMODORO RIVADAVIA AEROPUERTO
2020,1,1,28.4,16.3,CONCORDIA AEROPUERTO
2020,1,1,27.3,12.8,CORDOBA AEROPUERTO
2020,1,1,31.4,18.7,CORDOBA OBSERVATORIO
2020,1,1,26.2,11.2,CORONEL SUAREZ AEROPUERTO
2020,1,1,31.2,18.6,CORRIENTES AEROPUERTO
2020,1,1,,19.2,DOLORES AEROPUERTO
2020,1,1,26.2,2.9,EL BOLSON AEROPUERTO
2020,1,1,18.8,,EL CALAFATE AEROPUERTO
2020,1,1,33.8,16.1,EL PALOMAR AEROPUERTO
2020,1,1,,10.7,ESCUELA DE AVIACION MILITAR AEROPUERTO
2020,1,1,22.9,6.7,ESQUEL AEROPUERTO
2020,1,1,31.9,17.9,EZEIZA AEROPUERTO
2020,1,1,38.3,21.6,FORMOSA AEROPUERTO
2020,1,1,33.9,17.5,GENERAL PICO AEROPUERTO
2020,1,1,,,GOBERNADOR GREGORES AEROPUERTO
2020,1,1,31.8,19.4,GUALEGUAYCHU AEROPUERTO
2020,1,1,34.5,19.4,IGUAZU AEROPUERTO
2020,1,1,35.7,20.8,ITUZAINGO
2020,1,1,27.7,22.8,JACHAL
2020,1,1,35.3,18.5,JUJUY AEROPUERTO
2020,1,1,30.7,13.3,JUJUY U N
2020,1,1,34,14.1,JUNIN AEROPUERTO
2020,1,1,28.9,16.2,LA PLATA AEROPUERTO
2020,1,1,22.5,7.8,LA QUIACA OBSERVATORIO
2020,1,1,33.7,21.5,LA RIOJA AEROPUERTO
2020,1,1,32.2,15.3,LABOULAYE AEROPUERTO
2020,1,1,33.1,17.1,LAS FLORES
2020,1,1,38,23.5,LAS LOMITAS
2020,1,1,27.6,5.9,MALARGUE AEROPUERTO
2020,1,1,25.6,3.2,MAQUINCHAO
2020,1,1,23.1,13.7,MAR DEL PLATA AEROPUERTO
2020,1,1,29.2,17.4,MARCOS JUAREZ AEROPUERTO
2020,1,1,,22.9,MARIANO MORENO AEROPUERTO
2020,1,1,,19.6,MENDOZA AEROPUERTO
2020,1,1,,19.8,MENDOZA OBSERVATORIO
2020,1,1,32.7,16.9,MERCEDES AEROPUERTO (CTES)
2020,1,1,,22.8,MERLO AEROPUERTO
2020,1,1,28,18.7,METAN
2020,1,1,,18.1,MONTE CASEROS AEROPUERTO
2020,1,1,32.8,22.6,MORON AEROPUERTO
2020,1,1,27.5,10.1,NEUQUEN AEROPUERTO
2020,1,1,33.8,17.2,NUEVE DE JULIO
2020,1,1,34.7,22.5,OBERA
2020,1,1,29.6,13,OLAVARRIA AEROPUERTO
2020,1,1,35.5,22.5,ORAN AEROPUERTO
2020,1,1,,19.6,PARANA AEROPUERTO
2020,1,1,23.4,,PASO DE INDIOS
2020,1,1,32.4,18.9,PASO DE LOS LIBRES AEROPUERTO
2020,1,1,32,12.8,PEHUAJO AEROPUERTO
2020,1,1,21.3,8.1,PERITO MORENO AEROPUERTO
2020,1,1,24.6,11.8,PIGUE AEROPUERTO
2020,1,1,27.5,16.3,PILAR OBSERVATORIO
2020,1,1,35.9,23.6,POSADAS AEROPUERTO
2020,1,1,33.8,18.9,PRESIDENCIA ROQUE SAENZ PE A AEROPUERTO
2020,1,1,15.5,5.3,PUERTO DESEADO AEROPUERTO
2020,1,1,18.2,10.3,PUERTO MADRYN AEROPUERTO
2020,1,1,25.3,19.7,PUNTA INDIO B.A.
2020,1,1,23.9,18.1,RAFAELA AEROPUERTO
2020,1,1,27.6,22.2,RECONQUISTA AEROPUERTO
2020,1,1,33,20.6,RESISTENCIA AEROPUERTO
2020,1,1,,14.5,RIO CUARTO AEROPUERTO
2020,1,1,19.2,11.2,RIO GALLEGOS AEROPUERTO
2020,1,1,15.6,9.8,RIO GRANDE B.A.
2020,1,1,41.4,22.8,RIVADAVIA
2020,1,1,28.9,20.7,ROSARIO AEROPUERTO
2020,1,1,30.4,15,SALTA AEROPUERTO
2020,1,1,,7.8,SAN ANTONIO OESTE AEROPUERTO
2020,1,1,29.9,20.4,SAN FERNANDO AEROPUERTO
2020,1,1,30.1,23.3,SAN JUAN AEROPUERTO
2020,1,1,16.9,7.9,SAN JULIAN AEROPUERTO
2020,1,1,30.4,14.1,SAN LUIS AEROPUERTO
2020,1,1,33,19.1,SAN MARTIN (MZA)
2020,1,1,31,15.9,SAN RAFAEL AEROPUERTO
2020,1,1,19.3,10.8,SANTA CRUZ AEROPUERTO
2020,1,1,30.9,18.1,SANTA ROSA AEROPUERTO
2020,1,1,,13.4,SANTA ROSA DE CONLARA AEROPUERTO
2020,1,1,33.5,23.4,SANTIAGO DEL ESTERO AEROPUERTO
2020,1,1,30.3,16.2,SAUCE VIEJO AEROPUERTO
2020,1,1,30.1,19.4,SUNCHALES AEROPUERTO
2020,1,1,31,11.1,TANDIL AEROPUERTO
2020,1,1,,22.6,TARTAGAL AEROPUERTO
2020,1,1,33.5,19,TERMAS DE RIO HONDO AEROPUERTO
2020,1,1,31.9,20.8,TINOGASTA
2020,1,1,15.7,7.8,TRELEW AEROPUERTO
2020,1,1,32.4,17.5,TRENQUE LAUQUEN
2020,1,1,26,13.4,TRES ARROYOS
2020,1,1,25.9,15.6,TUCUMAN AEROPUERTO
2020,1,1,,6.5,USHUAIA AEROPUERTO
2020,1,1,29.7,11.8,USPALLATA
2020,1,1,30.2,12.8,VENADO TUERTO AEROPUERTO
2020,1,1,27.6,13.8,VICTORICA
2020,1,1,,9.8,VIEDMA AEROPUERTO
2020,1,1,33.9,12.9,VILLA DE MARIA DEL RIO SECO
2020,1,1,26.4,19,VILLA DOLORES AEROPUERTO
2020,1,1,22.7,14.1,VILLA GESELL AEROPUERTO
2020,1,1,27.3,9.1,VILLA REYNOLDS AEROPUERTO
2020,1,2,31.7,18.2,AEROPARQUE CABA
2020,1,2,20.2,6.3,AZUL AEROPUERTO
2020,1,2,24,,BAHIA BLANCA AEROPUERTO
2020,1,2,26.6,2.1,BARILOCHE AEROPUERTO
2020,1,2,-2.9,-6.5,BASE BELGRANO II
2020,1,2,4.5,-1.9,BASE CARLINI (EX JUBANY)
2020,1,2,2.3,-1,BASE ESPERANZA
2020,1,2,8.9,-4.4,BASE MARAMBIO
2020,1,2,1.5,-2.7,BASE ORCADAS
2020,1,2,6.2,1.5,BASE SAN MARTIN
2020,1,2,21.5,7.7,BENITO JUAREZ
2020,1,2,29.5,16.5,BERNARDO DE IRIGOYEN AEROPUERTO
2020,1,2,22.9,8.6,BOLIVAR AEROPUERTO
2020,1,2,32.4,20.1,BUENOS AIRES OBSERVATORIO
2020,1,2,28.2,16.8,CAMPO DE MAYO AEROPUERTO
2020,1,2,31.8,19.7,CATAMARCA AEROPUERTO
2020,1,2,,17.5,CERES AEROPUERTO
2020,1,2,,19.2,CHAMICAL AEROPUERTO
2020,1,2,32.4,5.1,CHAPELCO AEROPUERTO
2020,1,2,33.7,17,CHEPES
2020,1,2,21.3,10.4,COMODORO RIVADAVIA AEROPUERTO
2020,1,2,35.3,15.2,CONCORDIA AEROPUERTO
2020,1,2,28.5,15.4,CORDOBA AEROPUERTO
2020,1,2,31,16.5,CORDOBA OBSERVATORIO
2020,1,2,26.4,7.9,CORONEL SUAREZ AEROPUERTO
2020,1,2,33.9,15.7,CORRIENTES AEROPUERTO
2020,1,2,,14.8,DOLORES AEROPUERTO
2020,1,2,27.1,3.3,EL BOLSON AEROPUERTO
2020,1,2,21.3,,EL CALAFATE AEROPUERTO
2020,1,2,30.1,11.8,EL PALOMAR AEROPUERTO
2020,1,2,,19.1,ESCUELA DE AVIACION MILITAR AEROPUERTO
2020,1,2,21,5.3,ESQUEL AEROPUERTO
2020,1,2,27.3,12.4,EZEIZA AEROPUERTO
2020,1,2,32.9,19,FORMOSA AEROPUERTO
2020,1,2,32.1,10.7,GENERAL PICO AEROPUERTO
2020,1,2,,,GOBERNADOR GREGORES AEROPUERTO
2020,1,2,33,18.6,GUALEGUAYCHU AEROPUERTO
2020,1,2,33.1,17.1,IGUAZU AEROPUERTO
2020,1,2,34,18.8,ITUZAINGO
2020,1,2,32.5,19.5,JACHAL
2020,1,2,29.9,22.2,JUJUY AEROPUERTO
2020,1,2,25.3,14.9,JUJUY U N
2020,1,2,28.2,8.6,JUNIN AEROPUERTO
2020,1,2,28.9,14.1,LA PLATA AEROPUERTO
2020,1,2,16.6,6.7,LA QUIACA OBSERVATORIO
2020,1,2,39.4,21,LA RIOJA AEROPUERTO
2020,1,2,30.5,16.4,LABOULAYE AEROPUERTO
2020,1,2,23.8,10.6,LAS FLORES
2020,1,2,31.9,22.8,LAS LOMITAS
2020,1,2,26,8.8,MALARGUE AEROPUERTO
